400,0.0004,0.0093,0.273,15.8
410,0.0012,0.0348,0.82,59.2
420,0.004,0.0966,2.73,164
430,0.0116,0.1998,7.92,340
440,0.023,0.3281,15.7,558
450,0.038,0.455,26,774
460,0.06,0.5672,41,964
470,0.091,0.6756,62.2,1149
480,0.139,0.793,95,1348
490,0.208,0.9043,142,1537
500,0.323,0.9817,221,1669
510,0.503,0.9966,344,1694
520,0.71,0.9352,485,1590
530,0.862,0.811,589,1379
540,0.954,0.6497,652,1104
550,0.995,0.4808,680,817
560,0.995,0.3288,680,559
570,0.952,0.2076,650,353
580,0.87,0.1212,594,206
590,0.757,0.0655,517,111
600,0.631,0.0332,431,56.4
610,0.503,0.0159,344,27
620,0.381,0.0074,260,12.6
630,0.265,0.0033,181,5.61
640,0.175,0.0015,120,2.55
650,0.107,0.0007,73.1,1.19
660,0.061,0.0003,41.7,0.51
670,0.032,0.0001,21.9,0.17
680,0.017,0.0001,11.7,0.17
690,0.0082,0,5.6,0
700,0.0041,0,2.8,0
710,0.0021,0,1.43,0
720,0.00105,0,0.717,0
730,0.0005,0,0.342,0
740,0.00025,0,0.171,0
750,0.0001,0,0.0683,0
760,0.00006,0,0.041,0